mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,label
-681.9253,60.253666,0.6060103,13.558146,8.389651,0.47050053,-3.6465118,-3.5778348,-12.1716175,-3.223377,0.8137303,-3.4171336,2.081274,-4.172527,0.4242822,0.80909884,-4.5248446,-2.0884273,-1.493473,-1.0463089,-6.5730805,-0.5840921,-2.5970829,-4.999232,-1.8704052,-0.9227398,-5.364763,0.26139525,-2.3821251,0.14195754,-2.2559152,-2.3470516,-2.9980354,-2.032508,-3.536474,-1.7093544,-1.2075912,-1.9526516,-3.8546367,-1.6930438,0
-674.3548,61.282314,-1.7587712,17.722033,9.725379,-0.20510513,-1.5635262,-5.9048595,-12.91589,-1.5337242,0.8951448,-2.96428,1.089177,-3.6604867,-0.17414361,0.42572513,-5.032084,-1.1190742,-2.177235,0.56791854,-6.0780187,-0.99520665,-2.2417054,-5.2497406,-0.7294303,-1.8494775,-5.3430214,1.4110626,-2.5742145,0.16493186,-1.6296564,-2.9809654,-2.3882654,-2.7391644,-3.356074,-0.9023437,-1.4389243,-3.4280272,-3.562944,-2.5620825,0
-677.84033,62.68306,-0.07447756,14.536501,5.596521,1.0390106,-2.4690416,-6.033867,-11.388467,-4.1381598,0.45725688,-3.2136824,1.8700341,-3.8247895,-2.2697096,0.8961068,-5.440521,-3.4073894,0.04964905,0.056141216,-5.8204927,-1.1367579,-2.1316757,-3.6464648,-1.4292288,-0.36038318,-4.5395155,-0.3455799,-2.3781812,-0.331142,-1.9757737,-2.3327446,-2.6174054,-2.0852876,-3.0209384,-2.1700613,-1.2216954,-2.9839919,-3.8284535,-2.457575,0
-676.6398,58.588737,2.63902,13.680299,7.0924835,2.8823774,-1.9149785,-7.5631027,-11.114905,-3.638864,1.0640451,-1.7393591,0.4353624,-3.034033,-1.3538849,1.8363403,-4.7173567,-2.2222908,-0.1956827,-0.72385174,-5.143615,-2.031788,-1.473041,-2.866791,-2.2375884,-1.0783675,-4.4472866,-0.062638886,-2.336138,0.47330073,-2.6055763,-2.3185267,-3.0732903,-2.9572525,-3.4498658,-1.5752814,-1.0435601,-2.6196716,-3.6388826,-3.5802941,0
-695.9603,72.43381,2.8099043,16.982683,8.941421,1.745872,-4.2813873,-4.7786236,-11.778305,-5.999314,0.8774745,-3.9797916,0.3199053,-4.189285,-0.7823803,1.6044053,-6.649144,-1.012794,-1.5291516,-1.8715731,-5.514763,-1.5363073,-3.2086022,-5.0265136,-2.01797,-1.3778663,-5.6853523,1.583515,-3.6514916,0.5914489,-2.525447,-1.476523,-2.3031626,-2.894165,-2.1109526,-0.50930715,-2.1143026,-2.0199468,-4.525523,-3.1722417,0
-674.25684,79.5899,2.242152,12.989624,11.33328,0.971663,-5.554577,-5.8174872,-10.138366,-5.915696,1.9767334,-2.9729507,-0.36902043,-4.2848663,-2.0143404,1.2093483,-6.0134473,-2.7082293,-1.0594703,-1.7990222,-5.615307,-2.1916413,-3.1470323,-5.168643,-2.5936182,-1.6706487,-5.3396688,0.33030492,-3.4691777,0.23054485,-4.081987,-2.8110604,-4.0875516,-4.110704,-4.511252,-1.4735136,-2.5204341,-3.6486163,-5.1293917,-4.875839,0
-666.1147,75.04333,0.55732566,15.391621,6.5608134,3.0788264,-1.7745135,-5.7087607,-10.197613,-5.3980126,2.1777399,-2.0129378,1.5236958,-5.379285,1.5928742,0.018946985,-7.4061036,-3.1558607,-0.14739019,-2.0427203,-6.862594,-1.7511744,-2.6839037,-3.8008747,-2.7364862,-1.250637,-6.3298445,1.011926,-4.4818783,-0.15284632,-3.6686606,-2.054472,-2.9809308,-3.6351438,-4.9125657,-2.3668602,-2.5243628,-2.6968617,-5.5457134,-3.3656762,0
-669.84344,78.53974,0.5692843,15.132884,9.014773,1.8355125,-1.2031775,-7.0512967,-9.460643,-5.4419413,0.84657633,-2.2643588,1.5621092,-4.4133034,0.45352253,1.1298043,-6.510115,-2.3495553,-0.7061074,-1.365671,-7.4661403,-1.8898095,-2.8518217,-2.4975188,-3.075778,-0.83085203,-5.106916,0.12160525,-4.485214,0.022392107,-4.0458684,-2.0375948,-2.6008294,-3.0321553,-4.0522084,-2.0810435,-1.4091879,-2.742589,-4.038296,-3.880026,0
-688.81775,85.14174,4.1540008,16.344488,10.799283,1.7120028,-5.0275574,-3.8751788,-8.023195,-5.72064,2.236319,-0.3092135,-0.5028871,-4.875819,0.028159684,0.38643536,-2.4988558,-3.3302917,-0.60289294,1.1889895,-8.688351,-0.02113401,-3.3476784,-4.843904,-2.309572,-0.92007655,-4.0299945,1.2306737,-3.9758587,0.24904387,-4.3274355,-3.5197473,-4.655614,-2.5246708,-6.528893,0.60891885,-3.5798078,-2.9982328,-5.929573,-3.908104,0
-652.45685,78.60043,1.6656084,14.913383,6.532932,0.2505613,-5.780081,-7.277511,-9.611634,-7.434616,2.3996189,-1.9723271,-0.970913,-6.0332394,-0.26227576,-0.6665843,-5.829046,-3.084426,-0.6794448,-0.8975526,-8.582839,0.93083614,-2.7258492,-5.351123,-3.0267794,-2.1611245,-6.3557196,-0.092961416,-3.7910519,-1.0899621,-4.9443946,-2.961418,-5.1395164,-3.4248734,-6.4223967,-1.2449859,-2.945106,-2.9361079,-5.4775853,-4.3151884,0
-654.92993,71.5745,7.4494824,16.785378,5.7966967,6.844951,-6.0218377,-7.2772756,-10.083584,-7.0486217,1.183278,1.3138243,0.2472918,-4.6575294,1.8422012,-1.0003065,-6.7306,-2.8523102,-0.87105954,-1.3586942,-10.180681,0.3748695,-1.4854016,-5.304535,-2.978796,0.049181893,-6.7503257,1.3069527,-5.647123,-0.378656,-5.1347704,-2.2373388,-3.332727,-3.0247958,-5.516265,-0.0400306,-2.6314058,-4.47637,-5.836571,-3.5769696,0
-633.15436,76.8335,-2.769807,18.250523,6.60654,3.4079452,-5.267101,-9.88747,-11.922186,-5.587942,3.9653864,-1.1337959,0.5591403,-7.0642223,-0.62754774,0.4780787,-5.8334117,-3.128309,-1.2402517,-0.72851104,-9.313981,-1.6244287,-1.6131041,-5.40249,-2.15541,-0.9624251,-5.751246,0.723672,-3.8542583,-1.2412416,-5.4951496,-3.5619211,-4.8332367,-3.481084,-5.612521,-0.8288921,-2.5872214,-4.7062583,-5.9824095,-4.71642,0
-617.6649,72.74565,-5.1431637,14.449508,4.822281,-3.415863,-6.607715,-7.702532,-13.364721,-2.8036408,-1.5462344,-7.905726,1.3084961,-5.4466414,-2.8385844,2.4481122,-9.285294,-3.3463538,-2.8629465,-3.00233,-6.7945294,-0.12718107,-3.50807,-5.4962006,-3.1298115,-2.3650715,-6.016531,0.16953744,-4.714207,-1.3034792,-3.3991127,-3.1266015,-3.0263798,-4.3438063,-4.8980074,-2.7613106,-2.8988338,-0.91317457,-2.368242,-0.94572836,1
-604.7417,72.35882,-7.0398664,17.524006,7.22879,-2.1225252,-7.889883,-5.8134108,-16.041372,-1.8281696,-0.09391397,-7.5870614,3.6979816,-4.7661214,-2.7271945,3.5554767,-9.217082,-3.3442008,0.20373012,-2.087073,-7.274188,-0.15928803,-4.312537,-6.4710045,-0.6847801,-1.2710853,-4.182939,-0.7004014,-4.3815665,-1.3862007,-1.8885475,-3.9883611,-1.9627922,-3.414265,-3.5790694,-1.8482971,-1.3129526,-2.353298,-2.7150226,-1.1812897,1
